date,time_kst,분류,항목,금일(원/kg),전일(원/kg)
2025-12-13,11:49,육계(공장도가),9~10호,4077,4077
2025-12-13,11:49,육계(공장도가),11호,3915,3915
2025-12-13,11:49,육계(공장도가),12호,3669,3669
2025-12-13,11:49,생계,대,2290,2290
2025-12-13,11:49,생계,중,2390,2390
2025-12-13,11:49,생계,소,2490,2490
